"","X1","X1_26","X1_25","X1_24","X1_23","X1_22","X1_21","X1_20","X1_19","X1_18","X1_17","X1_16","X1_15","X1_14","X1_13","X1_12","X1_11","X1_10","X1_9","X1_8","X1_7","X1_6","X1_5","X1_4","X1_3","X1_2","X1_1","YEAR","TOURNAMENT","WINNER","RUNNER-UP"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019,"U.S. Open","Rafael Nadal","Daniil Medvedev"
"2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019,"Wimbledon","Novak Djokovic","Roger Federer"
"3",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019,"French Open","Rafael Nadal","Dominic Thiem"
"4",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019,"Australian Open","Novak Djokovic","Rafael Nadal"
"5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2018,"U.S. Open","Novak Djokovic","Juan Martin del Potro"
"6",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2018,"Wimbledon","Novak Djokovic","Kevin Anderson"
"7",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2018,"French Open","Rafael Nadal","Dominic Thiem"
"8",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2018,"Australian Open","Roger Federer","Marin Cilic"
"9",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2017,"U.S. Open","Rafael Nadal","Kevin Anderson"
"10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2017,"Wimbledon","Roger Federer","Marin Cilic"
"11",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2017,"French Open","Rafael Nadal","Stanislas Wawrinka"
"12",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2017,"Australian Open","Roger Federer","Rafael Nadal"
"13",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2016,"U.S. Open","Stanislas Wawrinka","Novak Djokovic"
"14",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2016,"Wimbledon","Andy Murray","Milos Raonic"
